"library"	"TumorID"	"BC"	"genotype"
"Neuset1"	"C4-L1"	1	"NeuT"
"Neuset1"	"C3-R1"	2	"NeuT"
"Neuset1"	"C3-L2"	3	"NeuT"
"Neuset1"	"C3-R2"	4	"NeuT"
"Neuset1"	"C2-L2"	5	"NeuT"
"Neuset1"	"C2-L3"	6	"NeuT"
"Neuset1"	"C9-R3"	7	"NeuT"
"Neuset1"	"C9-R1"	8	"NeuT"
"Neuset1"	"C16-R2"	9	"NeuT"
"Neuset1"	"C16-L2"	10	"NeuT"
"Neuset1"	"C25-R2"	11	"NeuT"
"Neuset1"	"C26-L3"	12	"NeuT"
"Neuset1"	"C37-L1?"	13	"NeuT"
"Neuset1"	"C37-L2/3"	14	"NeuT"
"Neuset1"	"C37-R2/3"	15	"NeuT"
"Neuset1"	"C38-L2/3.6"	16	"NeuT"
"Neuset1"	"C38-L2/3.8"	17	"NeuT"
"Neuset1"	"C38-R1"	18	"NeuT"
"Neuset1"	"C47-R1"	19	"NeuT"
"Neuset1"	"C47-L2"	20	"NeuT"
"Neuset1"	"C47-R3"	21	"NeuT"
"Neuset1"	"C47-L4"	22	"NeuT"
"Neuset1"	"C17-L3"	23	"NeuT"
"Neuset1"	"C17-R2"	24	"NeuT"
"Neuset1"	"C17-R3"	25	"NeuT"
"Neuset1"	"C44-R3"	26	"NeuT"
"Neuset1"	"C49-L2/3"	27	"NeuT"
"Neuset1"	"C49-L4"	28	"NeuT"
"Neuset1"	"C49-R2"	29	"NeuT"
"Neuset1"	"C69-L1"	30	"NeuT"
"Neuset1"	"C69-L3"	31	"NeuT"
"Neuset1"	"C69-R4"	32	"NeuT"
"Neuset1"	"C76-L2"	33	"NeuT"
"Neuset1"	"C76-R1"	34	"NeuT"
"Neuset1"	"C101-L5"	35	"NeuT"
"Neuset1"	"C102-L3"	36	"NeuT"
"Neuset1"	"C102-R2"	37	"NeuT"
"Neuset1"	"C126-R1"	38	"NeuT"
"Neuset1"	"C140-L1"	39	"NeuT"
